"name","roaster","roaster_country","roast","rating","review"
"“Sweety” Espresso Blend","A.R.C.","Hong Kong","Medium-Light",95,"Evaluated as espresso. Sweet-toned, deeply rich, chocolaty. Vanilla paste, dark chocolate, narcissus, pink grapefruit zest, black cherry in aroma and cup. Plush, syrupy mouthfeel; resonant, flavor-saturated finish. In three parts milk, rich chocolate tones intensify, along with intimations of vanilla paste and black cherry in the short finish and floral-toned citrus zest in the long.  A radiant espresso blend that shines equally in the straight shot and in milk, alive with notes of rich dark chocolate and black cherry."
"Flora Blend Espresso","A.R.C.","Hong Kong","Medium-Light",94,"Evaluated as espresso. Sweetly tart, floral-toned. Honeysuckle, oak, dried apricot, dark chocolate, thyme in aroma and small cup. Delicately syrupy body; gently drying, floral-driven finish in the short and sweetly herb-toned in the long. In three parts milk, chocolate, florals and fruit all take center stage, and thyme-like herb notes gently follow. A floral-driven straight shot, amplified with notes of stone fruit and chocolate in cappuccino-scaled milk."
"Ethiopia Shakiso Mormora","Revel Coffee","United States","Medium-Light",92,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long. A gently spice-toned, floral- driven wet-processed Ethiopia cup with pleasing notes of cocoa throughout."
"Ethiopia Suke Quto","Roast House","United States","Medium-Light",92,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes. Lavender-like flowers and hints of zesty pink peppercorn animate this crisply sweet wet-processed Ethiopia cup."
"Ethiopia Gedeb Halo Beriti","Big Creek Coffee Roasters","United States","Medium",94,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long. A deeply and generously lush cup saved from sentimentality by a crisp, incense-like, slightly savory edge. Very wide range of aromatics."
"Ethiopia Kayon Mountain","Red Rooster Coffee Roaster","United States","Light",93,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus). A lively and crisply sweet, fruit-forward natural-processed Ethiopia cup."
"Ethiopia Gelgelu Natural Organic","Willoughby's Coffee & Tea","United States","Medium-Light",93,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long. A deeply sweet natural-processed Ethiopia cup, with stone fruit and brandy notes as parallel throughlines."
"Ethiopia Hambela Alaka","Black Oak Coffee Roasters","United States","Medium-Light",93,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate. A delicate, richly sweet wet-processed Ethiopia: spice, herb, fruit and flowers in intricate balance."
"Organic Ethiopia Kirite","Wonderstate Coffee","United States","Medium-Light",93,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot. An inviting wet-processed Ethiopia cup. Invokes a walk through a citrus orchard in spring, with a bonus of sweet herb and cocoa tones."
"Ethiopia Sidama","Reunion Island Coffee","Canada","Medium",94,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long. An elegantly expressive, fruit-forward but savory-leaning Ethiopia cup."
"Thiriku AA Kenya","PT's Coffee Roasting","United States","Medium",95,"Intense; deep, spice-complicated sweetness. Black currant, baker’s chocolate, peppercorn medley, black sage, a hint of lush lily in aroma and cup. Balanced and lively in structure: sweetly tart with a savory edge. Plush, silky mouthfeel. Chocolate moves forward in a resonant, long, lively finish. Mysterious and extraordinary in the Kenya style: simultaneously sweet, savory, tart and entirely and grandly vibrant."
"Ethiopia Natural Yirgacheffe Tore","Kakalove Cafe","Taiwan","Medium-Light",93,"Deeply crisp, lushly floral. Rose, almond, dark chocolate, lime zest, peppermint in aroma and cup. Tartly sweet with a clear savory edge in structure; plump, juicy mouthfeel. Finish is complex and resonant in the short, consolidating around a fading lime and mint in the long.  An intense cup, zesty but juicy, alive with rose-like flowers, mint and lime."
"Direct Fair Trade Espresso","Level Ground Trading","Canada","Medium-Light",92,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long. A solid espresso blend equally pleasing as a straight shot and in milk."
"Decaf Ethiopia Sidamo","Old Soul Co.","United States","Medium",90,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom. This very light-roasted decaffeinated coffee may suggest a fine, complex Chinese black tea in some respects, though it ultimately enforces its coffee identity with its tart structure and light-footed authority. Oddly idiosyncratic in its aromatics, but quite free of the disturbing wood notes characteristic of many decaffeinated coffees."
"Ethiopia Yirgacheffe Washed G1","A.R.C.","Hong Kong","Medium-Light",92,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long.  A cup with a fine-tea-like appeal in its subtle complexity and spice-toned presentation."
"Ethiopia Yirgacheffe Natural G1","A.R.C.","Hong Kong","Medium-Light",91,"Rich, sweet-toned, balanced. Nougat, pink peppercorn, lemongrass, roasted cacao nib, tea rose in aroma and cup. Floral-toned, bittersweet structure; delicate, satiny mouthfeel. Notes of aromatic wood and spice-toned florals carry the gently drying finish. A crisply bittersweet cup that leads with spicy florals and sweet herb notes."
"“Fruity” Espresso Blend","A.R.C.","Hong Kong","Medium-Light",95,"Evaluated as espresso. Subtle and enveloping, richly sweet-toned. Jasmine, roasted cacao nib, passionfruit, sandalwood, nougat in aroma and small cup.  Delicate, silky mouthfeel; cocoa- and sandalwood-toned finish with notes of passionfruit carrying into the long. In three parts milk, passionfruit and jasmine harmonize with cocoa and a pleasing aromatic wood. Rich, sweet, elegant and cocoa-laden, this espresso blend is nougat-like in the straight shot and fruit- and floral-toned in milk."
"Decaf Colombia Select","Bootstrap Coffee Roasters","United States","Medium-Light",87,"Sweet, delicate, floral and wood-toned. Fresh-cut fir, demerara sugar, orange zest, faint rose-like flowers in aroma and cup. Gently bittersweet structure; very lightly syrupy mouthfeel. Flavor consolidates but persists in a round, sweet-toned finish. Those who value a gently zesty sweetness should enjoy this delicate decaf cup. Easy on the palate, easy on the nervous system."
"Ethiopia Awassa","Paradise Roasters","United States","Medium-Light",93,"Crisply sweet, multi-faceted. Candied violet, dark chocolate, pungent juniper wood, grapefruit zest, mango in aroma and cup. Sweetly tart structure with juicy acidity; satiny mouthfeel. The resonant finish centers around mango and violet in the short and dark chocolate in the long, with a hint of aromatic wood. An engaging, confident Ethiopia cup with layered intrigue: flowers, fruit, aromatic wood."
"100% Kona SL-28","Hula Daddy Kona Coffee","Hawai'i","Medium-Light",97,"Spectacularly sweet and hugely aromatic. Meyer lemon marmalade, cedar, pistachio, guava, jasmine in aroma and cup. Crisply sweet/tart and massively juicy in structure; plush, buoyant mouthfeel. The juicy structure and complex aromatics persist in a long, lingering finish.    Coffee simply doesn’t get much better than this. Transcendently classic."
"Kenya Kirinyaga Mukangu AB","Kakalove Cafe","Taiwan","Medium-Light",95,"Crisply sweet-savory. Lavender, roasted cacao nib, strawberry guava, hazelnut, toasted barley in aroma and cup. Sweetly floral structure with savory undertones; crisp, velvety mouthfeel. The cocoa-toned finish leads with spicy florals and tropical fruit in the short, grounded by pleasing notes of toasted barley in the long. A Kenya that covers all the bases: sweet-tart fruit, savory depth, spicy florals and cocoa."
"Kenya Nyeri Othaya Gatugi Red Cherry Project AA","Jackrabbit Java","United States","Medium-Dark",92,"Sweetly pungent, gently roasty. Scorched cedar, dark chocolate, plum, lavender, lime zest in aroma and cup. Complex in structure: sweetly tart with a roasty, savory depth. Light, satiny mouthfeel. Lemon zest, dark chocolate, plum carry into a rich though drying finish. A darker roast develops a savory-toned chocolate to complement a zesty citrus in this pleasingly contradictory Kenya."
"Ethiopia Washed Yirgacheffe Adado","Kakalove Cafe","Taiwan","Medium-Light",95,"Elegant, deep, sweetly savory. Jasmine, sandalwood, plum, nutella-like nut and cocoa, tangerine zest in aroma and cup. High-toned, balanced structure with citrusy acidity; syrupy-smooth mouthfeel. The finish is long, resonant and flavor-saturated, carrying through on the promise of the cup. A bright, lively, juicy washed Yirgacheffe coffee: classic in structure and style."
"Outbound Espresso","Propeller Coffee","Canada","Medium-Light",93,"Evaluated as espresso. Balanced, deeply and sweetly pungent. Honeysuckle, cashew, baker’s chocolate, cedar, caramel in aroma and small cup. Satiny mouthfeel; crisp, resonant finish that leads with baker’s chocolate in the short, rounding to nut-toned florals in the long. In three-parts milk, full and expressive of cashew butter, baker’s chocolate and honeysuckle.  An espresso blend that offers both high-toned florals and low-toned nut and chocolate notes, integrated by a consistent caramel throughline."
"Ace Espresso","Propeller Coffee","Canada","Medium-Light",94,"Evaluated as espresso. Floral-toned, lively. Black currant, narcissus, sandalwood, roasted cacao nib, molasses in aroma and small cup. Syrupy, buoyant mouthfeel; gently drying, flavor-saturated finish centered around notes of black currant and narcissus. In three parts milk, centered on narcissus-like florals with cocoa tones and black currant just underneath, with hints of sandalwood resurfacing as well. A floral-toned, richly sweet espresso blend: balanced, flavor-laden, driven by notes of narcissus-like flowers."
"Kenya Mutungati","Propeller Coffee","Canada","Medium-Light",94,"Bright, richly sweet, complex. Red currant, lilac, dark chocolate, lime zest, redwood in aroma and cup. Sweetly savory in structure, with juicy acidity; plush, syrupy mouthfeel. The balanced finish is resonant with notes of red currant and dark chocolate, with hints of lime zest.  A vibrant fruit- and chocolate-toned Kenya coffee, with an exciting hint of lime zest throughout the profile."
"Guatemala El Retiro del Quisaya","Chocolate Fish Coffee Roasters","United States","Light",93,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: peach, chocolate, almond. Delicate and graceful, yet authoritative in character; seductively sweet."
